TIME,SPOT,PCR,MAX_PAIN,TOTAL_CALL_OI,TOTAL_PUT_OI,CALL_OI_CHG,PUT_OI_CHG,TOTAL_CALL_VOL,TOTAL_PUT_VOL,ATM_STRIKE,ATM_CE_LTP,ATM_CE_OI,ATM_CE_VOL,ATM_CE_IV,ATM_CE_DELTA,ATM_CE_GAMMA,ATM_CE_THETA,ATM_PE_LTP,ATM_PE_OI,ATM_PE_VOL,ATM_PE_IV,ATM_PE_DELTA,ATM_PE_GAMMA,ATM_PE_THETA,IV_SKEW,MAX_CALL_STRIKE,MAX_PUT_STRIKE,CALL_OI_BUILD,PUT_OI_BUILD,CALL_OI_UNWIND,PUT_OI_UNWIND,EMA6_BIAS,RSI14,OI_MOMENTUM,EXPIRY,DTE
09:15:31,23935.85,0.7882,24450,157380925,124039955,1914055,416065,42612440,37897925,23950,130.25,308685,1200355,24.7200,0.4883,0.001100,-55.0107,123.30,3037320,2072785,20.5700,-0.5152,0.001400,-45.7610,-4.1500,25500,23500,2035605,717210,121550,301145,BEARISH,16.59,BUILDING,2026-05-12,1
09:16:31,23936.55,0.7603,24400,167797890,127577190,12331020,3953300,119055690,105368900,23950,126.10,1643590,4282720,24.0200,0.4785,0.001200,-53.3912,132.95,3657615,5972135,22.3400,-0.5235,0.001300,-49.6456,-1.6800,25500,23500,12849460,6505330,518440,2552030,BEARISH,15.63,BUILDING,2026-05-12,1
09:17:31,23925.15,0.7488,24400,175843655,131663805,20376785,8039915,173692350,143591305,23950,120.40,2828150,6381765,23.3300,0.4756,0.001200,-51.8544,132.05,4330430,8696675,21.6500,-0.5267,0.001300,-48.1061,-1.6800,25500,23500,21110960,11436035,734175,3396120,BEARISH,15.65,BUILDING,2026-05-12,1
09:18:31,23910.55,0.7403,24400,182132990,134833205,26666120,11209315,211787940,171269800,23900,139.95,2638740,5043935,23.3300,0.5218,0.001200,-51.8614,111.95,6816420,15018510,21.4800,-0.4768,0.001300,-47.7477,-1.8500,25500,23500,28354040,15073890,1687920,3864575,BEARISH,15.36,BUILDING,2026-05-12,1
09:19:31,23917.5,0.7423,24400,183739855,136383520,28272985,12759630,240964100,202381075,23900,145.80,3311165,6338995,23.8200,0.5288,0.001200,-52.9161,109.25,7555145,18973240,21.8500,-0.4691,0.001300,-48.5239,-1.9700,25500,23500,31323825,16827980,3050840,4068350,BEARISH,15.00,BUILDING,2026-05-12,1
09:20:31,23907.25,0.7373,24400,187272020,138067020,31805150,14443130,265879640,224048500,23900,138.60,3700060,7751315,23.5400,0.5209,0.001200,-52.3710,115.55,8197280,21629985,21.8200,-0.4778,0.001300,-48.5276,-1.7200,25500,23500,35157720,19097520,3352570,4654390,BEARISH,15.17,BUILDING,2026-05-12,1
09:21:31,23904.85,0.7193,24400,191290320,137601685,35823450,13977795,294272875,262873910,23900,138.40,4337320,9417850,24.0500,0.5135,0.001200,-53.5356,119.75,8180705,26217230,22.2500,-0.4859,0.001300,-49.5244,-1.8000,25500,23500,39440245,19387225,3616795,5409430,BEARISH,14.92,BUILDING,2026-05-12,1
09:22:31,23913.8,0.7085,24400,193973130,137422285,38506260,13798395,318455540,286198640,23900,140.50,4873245,10612550,23.7700,0.5217,0.001200,-52.9054,118.10,8236150,28499965,22.7400,-0.4775,0.001200,-50.5910,-1.0300,25500,23500,43136405,19401330,4630145,5602935,BEARISH,14.86,BUILDING,2026-05-12,1
09:23:31,23907.3,0.7063,24350,195909545,138376680,40442675,14752790,334374885,300648140,23900,138.05,5339360,11473280,23.9600,0.5162,0.001200,-53.3525,119.10,8473335,29995355,22.1600,-0.4829,0.001300,-49.3380,-1.8000,25500,23500,45772285,20518810,5329610,5766020,BEARISH,15.08,BUILDING,2026-05-12,1
09:24:31,23939.4,0.7053,24350,197582515,139347260,42115645,15723370,356452850,322773880,23950,124.55,5722730,15405845,22.9500,0.4909,0.001200,-51.2155,127.20,4549025,19815575,22.2200,-0.5096,0.001300,-49.5796,-0.7300,25500,23500,47471450,21615750,5355805,5892380,BEARISH,14.92,BUILDING,2026-05-12,1
09:25:31,23942.65,0.7207,24300,198426345,143006175,42959475,19382285,381469465,344005935,23950,124.80,5797740,17479085,22.7100,0.4973,0.001300,-50.7078,126.30,5012020,21946470,22.0500,-0.5029,0.001300,-49.2422,-0.6600,25500,23500,48569690,25341225,5610215,5958940,BEARISH,15.73,BUILDING,2026-05-12,1
09:26:31,23924.55,0.7314,24300,200141240,146382925,44674370,22759035,402227735,362767340,23900,143.35,5684120,16681535,23.1900,0.5357,0.001200,-51.5658,109.40,10010130,38621895,21.7300,-0.4623,0.001300,-48.2861,-1.4600,25500,23900,50493235,28655705,5818865,5896670,BEARISH,15.81,BUILDING,2026-05-12,1
09:27:31,23937.5,0.7306,24300,202094360,147650815,46627490,24026925,419218280,381755400,23950,125.00,6156150,19781645,22.9500,0.4930,0.001200,-51.2670,125.90,5637775,24936340,21.8700,-0.5076,0.001300,-48.8454,-1.0800,24000,23900,52583310,30093700,5955820,6066775,BEARISH,15.34,BUILDING,2026-05-12,1
09:28:31,23936.05,0.7385,24300,202470580,149515275,47003710,25891385,441094940,404547325,23950,122.40,6158230,21428225,22.7500,0.4921,0.001300,-50.8346,128.60,5734495,26344435,22.2000,-0.5082,0.001300,-49.6064,-0.5500,25500,23900,52909220,31847595,5905510,5956210,BEARISH,15.68,BUILDING,2026-05-12,1
09:29:31,23946.85,0.7472,24300,202431775,151256755,46964905,27632865,462216105,417608880,23950,126.70,6255925,22396205,22.5200,0.5056,0.001300,-50.3647,122.60,6026345,27392820,22.0200,-0.4944,0.001300,-49.2387,-0.5000,24000,23900,53553890,33674420,6588985,6041555,BEARISH,15.64,BUILDING,2026-05-12,1
09:30:31,23946.85,0.7510,24300,202710430,152229090,47243560,28605200,480834835,433762485,23950,125.40,6313450,23926110,22.2300,0.5049,0.001300,-49.7303,122.70,6088160,28949440,22.1100,-0.4951,0.001300,-49.4572,-0.1200,24000,23900,54085915,34779485,6842355,6174285,BEARISH,15.93,BUILDING,2026-05-12,1
09:31:31,23956,0.7581,24250,203804965,154511370,48338095,30887480,494118950,446108585,23950,129.40,6427460,24795875,22.4800,0.5113,0.001300,-50.2845,120.00,6415435,29983590,22.0200,-0.4886,0.001300,-49.2599,-0.4600,24000,23900,55283735,36992150,6945640,6104670,BEARISH,15.93,BUILDING,2026-05-12,1
09:32:31,23953.95,0.7643,24250,203625500,155631645,48158630,32007755,509377050,454889955,23950,127.05,6352515,26064155,22.2500,0.5123,0.001300,-49.7842,121.45,6590480,30817995,22.1700,-0.4877,0.001300,-49.6134,-0.0800,24000,23900,55419195,38097865,7260565,6090110,BEARISH,16.18,BUILDING,2026-05-12,1
09:33:31,23926.55,0.7751,24250,202751315,157149655,47284445,33525765,532638600,476369335,23950,115.70,6083090,27936935,22.3700,0.4770,0.001300,-49.9543,133.90,6706570,33209475,22.1600,-0.5232,0.001300,-49.4753,-0.2100,24000,23900,54986230,39713115,7701785,6187350,BEARISH,16.12,BUILDING,2026-05-12,1
09:35:31,23919.5,0.7746,24250,205495030,159179800,50028160,35555910,561674750,510501615,23900,138.00,5992415,27777035,22.9000,0.5326,0.001200,-51.0768,112.55,12869285,58991140,22.0800,-0.4664,0.001300,-49.2288,-0.8200,24000,23900,57642195,41902185,7614035,6346275,BEARISH,15.63,BUILDING,2026-05-12,1
09:36:31,23906.05,0.7644,24250,207535835,158649530,52068965,35025640,576674410,531863085,23900,133.20,6327035,29167385,22.7700,0.5188,0.001300,-50.8742,116.50,12879295,62436010,22.0300,-0.4808,0.001300,-49.2348,-0.7400,24000,23900,59588035,41600520,7519070,6574880,BEARISH,15.22,BUILDING,2026-05-12,1
09:37:31,23902.8,0.7533,24250,210201875,158342730,54735005,34718840,589593615,547182480,23900,132.00,6593730,30152655,23.4700,0.5077,0.001200,-52.4865,118.75,12681370,64845235,21.5500,-0.4921,0.001300,-48.1860,-1.9200,24000,23900,62160345,41499510,7425340,6780670,BEARISH,14.89,BUILDING,2026-05-12,1
09:38:31,23899.05,0.7389,24250,212311840,156869115,56844970,33245225,602331340,565126380,23900,132.55,6889805,31265715,24.1100,0.4997,0.001200,-53.9296,118.65,12326080,67823015,21.0700,-0.5011,0.001400,-47.1370,-3.0400,24000,23900,64169170,40190995,7324200,6945770,BEARISH,14.81,BUILDING,2026-05-12,1
09:39:31,23886.55,0.7250,24250,214184685,155292215,58717815,31668325,623198875,592300020,23900,127.50,7369765,33118345,24.1100,0.4892,0.001200,-53.9051,124.20,11924770,72203625,21.1000,-0.5130,0.001400,-47.1760,-3.0100,24000,23900,66324115,38798045,7606300,7129720,BEARISH,14.72,BUILDING,2026-05-12,1
09:40:31,23877.05,0.7005,24300,217985235,152692020,62518365,29068130,644122440,616206565,23900,125.25,8094580,34816145,24.4300,0.4789,0.001200,-54.5594,128.55,11347895,75803910,21.1800,-0.5252,0.001300,-47.2728,-3.2500,24000,23900,69568590,36417160,7050225,7349030,BEARISH,14.44,BUILDING,2026-05-12,1
09:41:31,23894.15,0.6840,24300,221268450,151343075,65801580,27719185,665452775,645756215,23900,131.80,8420425,36879830,24.0500,0.4952,0.001200,-53.8256,119.40,10671440,80204085,21.2400,-0.5061,0.001300,-47.5392,-2.8100,24000,23900,72721025,35227855,6919445,7508670,BEARISH,14.23,BUILDING,2026-05-12,1
09:42:31,23894.4,0.6779,24300,224227250,152010300,68760380,28386410,679302910,662467455,23900,129.20,8888880,38444900,23.8000,0.5012,0.001200,-53.3090,121.95,10860460,82304820,21.2200,-0.4992,0.001300,-47.5340,-2.5800,24000,23900,75579465,35936940,6819085,7550530,BEARISH,14.61,BUILDING,2026-05-12,1
09:43:31,23877.2,0.6745,24300,226066555,152479340,70599685,28855450,694703035,677872195,23900,121.95,9268025,39725985,23.8300,0.4770,0.001200,-53.2583,129.85,10976745,84789315,21.3300,-0.5264,0.001300,-47.6419,-2.5000,24000,23900,77278955,36569780,6679270,7714330,BEARISH,14.62,BUILDING,2026-05-12,1
09:44:31,23870,0.6690,24300,227990685,152527960,72523815,28904070,707039320,695981260,23850,146.55,2235285,9424805,24.2500,0.5296,0.001200,-54.1219,107.50,5215860,40851460,21.5100,-0.4673,0.001300,-47.9961,-2.7400,24000,23900,79250665,36655255,6726850,7751185,BEARISH,14.23,BUILDING,2026-05-12,1
09:45:31,23873.2,0.6634,24300,229897980,152519640,74431110,28895750,718402100,710989760,23850,148.35,2427165,9896510,24.4400,0.5320,0.001200,-54.5606,104.95,5394870,42389230,21.0700,-0.4637,0.001400,-46.9905,-3.3700,24000,23900,81243695,36696400,6812585,7800650,BEARISH,14.08,BUILDING,2026-05-12,1
09:46:31,23873.35,0.6587,24300,232226410,152958260,76759540,29334370,730135250,722677410,23850,149.35,2578940,10270260,24.6100,0.5342,0.001200,-54.9298,104.50,5518890,43636450,21.0000,-0.4608,0.001400,-46.8049,-3.6100,24000,23900,83637190,37145680,6877650,7811310,BEARISH,14.15,BUILDING,2026-05-12,1
09:47:31,23881.05,0.6563,24300,233116195,152995960,77649325,29372070,739868805,733617625,23900,126.00,10465715,44186155,24.2500,0.4817,0.001200,-54.2827,124.10,10895755,92952860,20.8100,-0.5221,0.001400,-46.5734,-3.4400,24000,23900,84725160,37206975,7075835,7834905,BEARISH,14.15,BUILDING,2026-05-12,1
09:48:20,23886.35,0.6536,24300,234056095,152970935,78589225,29347045,748584005,743465320,23900,127.90,10642580,45125275,23.9700,0.4903,0.001200,-53.7360,120.85,10741055,94378895,20.8600,-0.5119,0.001400,-46.7511,-3.1100,24000,23900,85690735,37171290,7101510,7824245,NEUTRAL,,BUILDING,2026-05-12,1
09:48:31,23887.8,0.6534,24300,234194155,153011560,78727285,29387670,749896615,745129775,23900,128.30,10642580,45280040,23.9400,0.4919,0.001200,-53.6780,120.75,10741055,94627715,20.8000,-0.5101,0.001400,-46.6250,-3.1400,24000,23900,85918040,37267555,7190755,7879885,BEARISH,14.32,BUILDING,2026-05-12,1
09:49:31,23878.4,0.6561,24300,234583700,153901345,79116830,30277455,761395960,757676595,23900,123.20,10754900,46333560,23.8600,0.4802,0.001200,-53.4469,127.60,11174150,96630430,21.2400,-0.5228,0.001300,-47.5495,-2.6200,24000,23900,86391760,38141545,7274930,7864090,BEARISH,14.47,BUILDING,2026-05-12,1
09:50:31,23883.05,0.6550,24300,235774760,154438570,80307890,30814680,771831060,766165660,23900,124.25,11090820,47137220,23.8800,0.4832,0.001200,-53.5200,125.35,11283545,97789055,20.8900,-0.5199,0.001400,-46.8002,-2.9900,24000,23900,87782630,38739090,7474740,7924410,BEARISH,14.26,BUILDING,2026-05-12,1
09:51:31,23882.3,0.6550,24300,237052725,155264590,81585855,31640700,776834305,771990440,23900,123.60,11282700,47702395,23.7600,0.4835,0.001200,-53.2637,125.40,11524500,98555795,20.9700,-0.5194,0.001400,-46.9881,-2.7900,24000,23900,89038105,39628875,7452250,7988175,BEARISH,14.36,BUILDING,2026-05-12,1
09:52:31,23877.9,0.6544,24300,237075800,155138555,81608930,31514665,785693675,781095185,23900,122.20,11398855,48359155,23.7100,0.4790,0.001200,-53.1392,127.55,11535095,99575515,21.3500,-0.5239,0.001300,-47.8193,-2.3600,24000,23900,89493560,39568685,7884630,8054020,BEARISH,14.34,BUILDING,2026-05-12,1
